source,title,client_name,order_number,pacing_type,start_date,end_date,strategy,monthly,total,rate
mcp-Google_Drive-read_file_content-1790081135469.txt,River Valley Builders Facebook,River Valley Builders Facebook,,impression,2026-08-01,2026-12-31,FB - R,4000.0,20000.0,3.5
mcp-Google_Drive-read_file_content-1790081135469.txt,Roto Rooter,Roto Rooter,,event,2026-07-31,2026-12-31,Performance Max - Search Terms/Retargeting,2500.0,12500.0,3125.0
mcp-Google_Drive-read_file_content-1790081135469.txt,Roto Rooter Williamsport,Roto Rooter Williamsport,,event,2026-08-12,2026-12-31,Performance Max - Search Terms/Retargeting,2000.0,10000.0,2500.0
mcp-Google_Drive-read_file_content-1790081135469.txt,Secure Fence LLC,Secure Fence LLC,,event,2026-04-01,2026-09-30,Performance Max - Search Terms/Retargeting,1500.0,9000.0,2250.0
mcp-Google_Drive-read_file_content-1790081135469.txt,SRVVB Philly Cycling Classic,SRVVB Philly Cycling Classic,,impression,2026-08-28,2026-09-30,MC Event - Geo-Fencing,25000.0,25000.0,5.0
mcp-Google_Drive-read_file_content-1790081135469.txt,SRVVB Philly Cycling Classic,SRVVB Philly Cycling Classic,,impression,2026-08-28,2026-09-30,MC Event - Geo-Retargeting,35000.0,35000.0,3.5
mcp-Google_Drive-read_file_content-1790081135469.txt,SRVVB LLWS,SRVVB LLWS,,impression,2026-08-14,2026-09-14,MC E - GF,30000.0,30000.0,5.0
mcp-Google_Drive-read_file_content-1790081135469.txt,SRVVB LLWS,SRVVB LLWS,,impression,2026-08-14,2026-09-14,MC E - GR,30000.0,30000.0,3.5
mcp-Google_Drive-read_file_content-1790081135469.txt,The Home Store Facebook,The Home Store Facebook,,impression,2026-08-01,2026-12-31,FB - R,4000.0,20000.0,3.5
mcp-Google_Drive-read_file_content-1790081135469.txt,United Plate Glass,United Plate Glass,,impression,2026-09-11,2026-11-30,YT TV - R,2000.0,6000.0,3.5
mcp-Google_Drive-read_file_content-1790081135469.txt,United Plate Glass,United Plate Glass,,impression,2026-09-11,2026-11-30,YT TV - C,23000.0,69000.0,3.5
mcp-Google_Drive-read_file_content-1790081135469.txt,Weis Center,Weis Center,,impression,2026-09-01,2026-02-28,SM - B,30000.0,180000.0,3.0
mcp-Google_Drive-read_file_content-1790081135469.txt,Weis Center,Weis Center,,impression,2026-09-01,2026-02-28,SM - K,40000.0,240000.0,3.0
mcp-Google_Drive-read_file_content-1790081135469.txt,Weis Center,Weis Center,,impression,2026-09-01,2026-02-28,SM - AI,30000.0,180000.0,3.0
mcp-Google_Drive-read_file_content-1790081135469.txt,Bellefonte Historical Railroad Society,Bellefonte Historical Railroad Society,,impression,2026-09-14,2026-10-12,SM - GR,10000.0,10000.0,3.0
mcp-Google_Drive-read_file_content-1790081135469.txt,Bellefonte Historical Railroad Society,Bellefonte Historical Railroad Society,,impression,2026-09-14,2026-10-12,SM - GF,10000.0,10000.0,3.0
mcp-Google_Drive-read_file_content-1790081135469.txt,Big Valley Cabinets,Big Valley Cabinets,,impression,2026-08-17,2026-11-14,D - R,5000.0,15000.0,2.5
mcp-Google_Drive-read_file_content-1790081135469.txt,Big Valley Cabinets,Big Valley Cabinets,,impression,2026-08-17,2026-11-14,D - B,100000.0,300000.0,2.5
mcp-Google_Drive-read_file_content-1790081135469.txt,Big Valley Cabinets,Big Valley Cabinets,,impression,2026-08-17,2026-11-14,D - Content,75000.0,225000.0,2.5
mcp-Google_Drive-read_file_content-1790081135469.txt,Big Valley Cabinets,Big Valley Cabinets,,impression,2026-08-17,2026-11-14,D - GR,,,2.5
mcp-Google_Drive-read_file_content-1790081135469.txt,Big Valley Cabinets,Big Valley Cabinets,,impression,2026-08-17,2026-11-14,D - GF,,,2.5
mcp-Google_Drive-read_file_content-1790081135469.txt,Fullington Auto Bus Co.,Fullington Auto Bus Co.,,impression,2026-08-18,2026-11-16,SM - R,5000.0,15000.0,3.0
mcp-Google_Drive-read_file_content-1790081135469.txt,Fullington Auto Bus Co.,Fullington Auto Bus Co.,,impression,2026-08-18,2026-11-16,SM - B,50000.0,150000.0,3.0
mcp-Google_Drive-read_file_content-1790081135469.txt,Fullington Auto Bus Co.,Fullington Auto Bus Co.,,impression,2026-08-18,2026-11-16,SM - Content,45000.0,135000.0,3.0
mcp-Google_Drive-read_file_content-1790081135469.txt,Glenn O. Hawbaker Inc,Glenn O. Hawbaker Inc,,impression,2026-07-01,2026-09-30,SM - R,5000.0,15000.0,3.0
mcp-Google_Drive-read_file_content-1790081135469.txt,Karch Landscaping & Excavating LLC,Karch Landscaping & Excavating LLC,,impression,2026-07-08,2026-09-30,FB - R,4000.0,12000.0,3.5
mcp-Google_Drive-read_file_content-1790081135469.txt,McLanahan's Penn State Room,McLanahan's Penn State Room,,impression,2026-09-03,2026-11-30,MC - Geo-Retargeting,30000.0,90000.0,3.5
mcp-Google_Drive-read_file_content-1790081135469.txt,Mifflin County School District -SC,Mifflin County School District -SC,,impression,2026-06-08,2026-09-08,SM - B,25000.0,75000.0,3.0
mcp-Google_Drive-read_file_content-1790081135469.txt,Moss Farm Film & Arts Invitational,Moss Farm Film & Arts Invitational,,impression,2026-09-14,2026-10-02,MC - Geo-Retargeting,40000.0,40000.0,3.5
mcp-Google_Drive-read_file_content-1790081135469.txt,Moss Farm Film & Arts Invitational,Moss Farm Film & Arts Invitational,,impression,2026-09-14,2026-10-02,MC - Geo-Fencing,63333.0,63333.0,3.5
mcp-Google_Drive-read_file_content-1790081135469.txt,Penn State Greater Allegheny,Penn State Greater Allegheny,,impression,2026-09-08,2026-11-30,SM - B,5000.0,15000.0,3.0
mcp-Google_Drive-read_file_content-1790081135469.txt,North Club Health and Fitness,North Club Health and Fitness,,impression,2026-08-28,2026-11-30,MC - Geo-Retargeting,30000.0,90000.0,3.5
mcp-Google_Drive-read_file_content-1790081135469.txt,State College Friends School,State College Friends School,,impression,2026-09-14,2026-10-02,SM - GR,10000.0,10000.0,3.0
mcp-Google_Drive-read_file_content-1790081135469.txt,State College Friends School,State College Friends School,,impression,2026-09-14,2026-10-02,SM - GF,10000.0,10000.0,3.0
